Timestamp;"Coopeguanacaste.Casa_Chameleon
Voltage A-B Mean
(V)";"Coopeguanacaste.Casa_Chameleon
Voltage B-C Mean
(V)";"Coopeguanacaste.Casa_Chameleon
Voltage C-A Mean
(V)";"Coopeguanacaste.CCSS_Hojancha
Voltage A-B Mean
(V)";"Coopeguanacaste.CCSS_Hojancha
Voltage B-C Mean
(V)";"Coopeguanacaste.CCSS_Hojancha
Voltage C-A Mean
(V)";"Coopeguanacaste.Coopecompro_El_Coco
Voltage A-B Mean
(V)";"Coopeguanacaste.Coopecompro_El_Coco
Voltage B-C Mean
(V)";"Coopeguanacaste.Coopecompro_El_Coco
Voltage C-A Mean
(V)";"Coopeguanacaste.Hotel_Westin
Voltage A-B Mean
(V)";"Coopeguanacaste.Hotel_Westin
Voltage B-C Mean
(V)";"Coopeguanacaste.Hotel_Westin
Voltage C-A Mean
(V)";"Coopeguanacaste.JUANILAMA_PRINCIPAL
Voltage A-B Mean
(V)";"Coopeguanacaste.JUANILAMA_PRINCIPAL
Voltage B-C Mean
(V)";"Coopeguanacaste.JUANILAMA_PRINCIPAL
Voltage C-A Mean
(V)";"Coopeguanacaste.KFC_NICOYA
Voltage A-B Mean
(V)";"Coopeguanacaste.KFC_NICOYA
Voltage B-C Mean
(V)";"Coopeguanacaste.KFC_NICOYA
Voltage C-A Mean
(V)";"Coopeguanacaste.Melonera_del_Monte
Voltage A-B Mean
(V)";"Coopeguanacaste.Melonera_del_Monte
Voltage B-C Mean
(V)";"Coopeguanacaste.Melonera_del_Monte
Voltage C-A Mean
(V)";"Coopeguanacaste.Occidental_Tamarindo
Voltage A-B Mean
(V)";"Coopeguanacaste.Occidental_Tamarindo
Voltage B-C Mean
(V)";"Coopeguanacaste.Occidental_Tamarindo
Voltage C-A Mean
(V)";"Coopeguanacaste.Torre_Hospital_Anexion
Voltage A-B Mean
(V)";"Coopeguanacaste.Torre_Hospital_Anexion
Voltage B-C Mean
(V)";"Coopeguanacaste.Torre_Hospital_Anexion
Voltage C-A Mean
(V)"
1/1/2020 17:15:00;;;;;;;;;;;;;26000,0625;25945,16406;26083,5918;;;;;;;;;;;;
1/1/2020 17:30:00;;;;;;;;;;;;;25981,16016;25921,35352;26068,39844;;;;;;;;;;;;
1/1/2020 17:45:00;;;;;;;;;;;;;25963,83789;25898,39063;26053,125;;;;;;;;;;;;
1/1/2020 18:00:00;;;;;;;;;;;;;25931,91406;25866,9043;26021,86914;;;;;;;;;;;;
1/1/2020 18:15:00;;;;;;;;;;;;;25892,72266;25938,18164;26083,63281;;;;;;;;;;;;
1/1/2020 18:30:00;;;;;;;;;;;;;25892,13086;25953,31055;26078,63086;;;;;;;;;;;;
1/1/2020 18:45:00;;;;;;;;;;;;;25898,72266;25956,26758;26085,57813;;;;;;;;;;;;
1/1/2020 19:00:00;;;;;;;;;;;;;25898,59375;25946,68359;26081,2793;;;;;;;;;;;;
1/1/2020 19:15:00;;;;;;;;;;;;;25922,875;25947,18359;26095,71289;;;;;;;;;;;;
1/1/2020 19:30:00;;;;;;;;;;;;;25926,18945;25952,42969;26103,32031;;;;;;;;;;;;
1/1/2020 19:45:00;;;;;;;;;;;;;25947,31641;25973,82617;26123,80859;;;;;;;;;;;;
1/1/2020 20:00:00;;;;;;;;;;;;;25963,36914;25994,52539;26136,37109;;;;;;;;;;;;
1/1/2020 20:15:00;;;;;;;;;;;;;26058,33789;26037,97852;26238,66602;;;;;;;;;;;;
1/1/2020 20:30:00;;;;;;;;;;;;;26108,05273;25943,3457;26237,46484;;;;;;;;;;;;
1/1/2020 20:45:00;;;;;;;;;;;;;26138,9043;25978,61914;26273,92969;;;;;;;;;;;;
1/1/2020 21:00:00;;;;;;;;;;;;;26044,95313;26003,05078;26142,70508;;;;;;;;;;;;
1/1/2020 21:15:00;;;;;;;;;;;;;26045,45508;26020,47266;26142,27734;;;;;;;;;;;;
1/1/2020 21:30:00;;;;;;;;;;;;;26063,4707;26041,5332;26168,24023;;;;;;;;;;;;
1/1/2020 21:45:00;;;;;;;;;;;;;26097,35352;26069,99609;26212,18164;;;;;;;;;;;;
1/1/2020 22:00:00;;;;;;;;;;;;;26106,38086;26085,52734;26227,98633;;;;;;;;;;;;
1/1/2020 22:15:00;;;;;;;;;;;;;26112,07422;26087,16211;26242,70703;;;;;;;;;;;;
1/1/2020 22:30:00;;;;;;;;;;;;;26108,82617;26079,20703;26237,00391;;;;;;;;;;;;
1/1/2020 22:45:00;;;;;;;;;;;;;26125,61914;26094,39258;26253,04688;;;;;;;;;;;;
1/1/2020 23:00:00;;;;;;;;;;;;;26119,26953;26089,90234;26254,375;;;;;;;;;;;;
1/1/2020 23:15:00;;;;;;;;;;;;;26123,14063;26095,05078;26261,20898;;;;;;;;;;;;
1/1/2020 23:30:00;;;;;;;;;;;;;26110,54297;26121,94141;26263,93945;;;;;;;;;;;;
1/1/2020 23:45:00;;;;;;;;;;;;;26055,69922;26084,02539;26208,13281;;;;;;;;;;;;
2/1/2020 00:00:00;;;;;;;;;;;;;26071,21094;26100,24219;26229,99023;;;;;;;;;;;;
2/1/2020 00:15:00;;;;;;;;;;;;;26085,22656;26114,13477;26243,36914;;;;;;;;;;;;
2/1/2020 00:30:00;;;;;;;;;;;;;26090,96094;26129,69141;26250,42188;;;;;;;;;;;;
2/1/2020 00:45:00;;;;;;;;;;;;;26098,65625;26119,02148;26234,93555;;;;;;;;;;;;
2/1/2020 01:00:00;;;;;;;;;;;;;26112,47461;26114,27734;26230,41797;;;;;;;;;;;;
2/1/2020 01:15:00;;;;;;;;;;;;;26110,66406;26115,11719;26226,24805;;;;;;;;;;;;
2/1/2020 01:30:00;;;;;;;;;;;;;26113,47461;26114,13477;26224,90625;;;;;;;;;;;;
2/1/2020 01:45:00;;;;;;;;;;;;;26067,5332;26062,49805;26182,19727;;;;;;;;;;;;
2/1/2020 02:00:00;;;;;;;;;;;;;26049,24023;26053,21094;26164,90625;;;;;;;;;;;;
2/1/2020 02:15:00;;;;;;;;;;;;;26066,92383;26073,78711;26186,32227;;;;;;;;;;;;
2/1/2020 02:30:00;;;;;;;;;;;;;26087,58398;26094,45117;26208,95508;;;;;;;;;;;;
2/1/2020 02:45:00;;;;;;;;;;;;;26104,30469;26112,19336;26225,38672;;;;;;;;;;;;
2/1/2020 03:00:00;;;;;;;;;;;;;26111,19531;26116,5293;26226,32813;;;;;;;;;;;;
2/1/2020 03:15:00;;;;;;;;;;;;;26110,67383;26110,16602;26226,56836;;;;;;;;;;;;
2/1/2020 03:30:00;;;;;;;;;;;;;26104,82422;26105,11914;26223,9082;;;;;;;;;;;;
2/1/2020 03:45:00;;;;;;;;;;;;;26097,1582;26096,81055;26216,66797;;;;;;;;;;;;
2/1/2020 04:00:00;;;;;;;;;;;;;26086,21094;26100,34375;26202,52539;;;;;;;;;;;;
2/1/2020 04:15:00;;;;;;;;;;;;;26084,23242;26094,60352;26200,09961;;;;;;;;;;;;
2/1/2020 04:30:00;;;;;;;;;;;;;26074,65039;26082,64453;26191,37695;;;;;;;;;;;;
2/1/2020 04:45:00;;;;;;;;;;;;;26060,42188;26070,33203;26181,16016;;;;;;;;;;;;
2/1/2020 05:00:00;;;;;;;;;;;;;26053,83398;26066,13477;26177,69141;;;;;;;;;;;;
2/1/2020 05:15:00;;;;;;;;;;;;;26051,15625;26065,62305;26171,70703;;;;;;;;;;;;
2/1/2020 05:30:00;;;;;;;;;;;;;26039,79492;26067,07617;26160,82617;;;;;;;;;;;;
2/1/2020 05:45:00;;;;;;;;;;;;;26019,51758;26048,47266;26142,59766;;;;;;;;;;;;
2/1/2020 06:00:00;;;;;;;;;;;;;26026,94922;26036,92383;26143,28516;;;;;;;;;;;;
2/1/2020 06:15:00;;;;;;;;;;;;;25996,03711;26004,00586;26122,79102;;;;;;;;;;;;
2/1/2020 06:30:00;;;;;;;;;;;;;25963,34375;25977,47266;26104,3125;;;;;;;;;;;;
2/1/2020 06:45:00;;;;;;;;;;;;;25941,62695;25953,75195;26082,78125;;;;;;;;;;;;
2/1/2020 07:00:00;;;;;;;;;;;;;25949,12695;25959,89844;26076,42969;;;;;;;;;;;;
2/1/2020 07:15:00;;;;;;;;;;;;;25941,0293;25929,06445;26082,79102;;;;;;;;;;;;
2/1/2020 07:30:00;;;;;;;;;;;;;25915,27344;25924,70313;26077,42578;;;;;;;;;;;;
2/1/2020 07:45:00;;;;;;;;;;;;;25978,17383;26038,10156;26154,43555;;;;;;;;;;;;
2/1/2020 08:00:00;;;;;;;;;;;;;25980,72461;26024,21875;26150,66211;;;;;;;;;;;;
2/1/2020 08:15:00;;;;;;;;;;;;;25968,57031;26012,07422;26131,95703;;;;;;;;;;;;
2/1/2020 08:30:00;;;;;;;;;;;;;26057,0957;26153,44727;26245,85547;;;;;;;;;;;;
2/1/2020 08:45:00;;;;;;;;;;;;;26117,39063;26222,49414;26308,23633;;;;;;;;;;;;
2/1/2020 09:00:00;;;;;;;;;;;;;26145,26172;26251,95313;26324,63086;;;;;;;;;;;;
2/1/2020 09:15:00;;;;;;;;;;;;;26160,25977;26280,69141;26353,24023;;;;;;;;;;;;
2/1/2020 09:30:00;;;;;;;;;;;;;26147,22461;26266,61133;26331,22852;;;;;;;;;;;;
2/1/2020 09:45:00;;;;;;;;;;;;;26153,12305;26300,22461;26340,86133;;;;;;;;;;;;
2/1/2020 10:00:00;;;;;;;;;;;;;26149,83398;26293,71484;26332,88281;;;;;;;;;;;;
